Questao,Resposta,Dimensao,Inverso
1,1,Abertura,0
2,2,Abertura,0
3,3,Abertura,0
4,4,Abertura,0
5,4,Abertura,0
6,4,Abertura,0
7,4,Abertura,0
8,3,Abertura,1
9,3,Conscienciosidade,0
10,3,Conscienciosidade,0
11,3,Conscienciosidade,0
12,2,Conscienciosidade,0
13,2,Conscienciosidade,1
14,2,Conscienciosidade,0
15,2,Conscienciosidade,0
16,1,Conscienciosidade,1
17,1,Extroversao,0
18,1,Extroversao,0
19,5,Extroversao,0
20,5,Extroversao,0
21,5,Extroversao,0
22,5,Extroversao,1
23,5,Extroversao,0
24,5,Extroversao,1
25,5,Amabilidade,0
26,3,Amabilidade,0
27,3,Amabilidade,0
28,3,Amabilidade,0
29,3,Amabilidade,0
30,2,Amabilidade,0
31,2,Amabilidade,1
32,2,Amabilidade,1
33,2,Neuroticismo,0
34,2,Neuroticismo,0
35,2,Neuroticismo,0
36,3,Neuroticismo,0
37,4,Neuroticismo,0
38,5,Neuroticismo,1
39,1,Neuroticismo,1
40,1,Neuroticismo,0
41,1,Extra,0
42,2,Extra,0
43,2,Extra,0
44,2,Extra,0
